"X","score","rate","rate_bin"
1,-2,1.57708339846753,0
2,-2,1.51638413105297,0
3,-2,0.712463826116674,0
4,-2,2.50624338270921,0
5,-2,1.31895224095594,0
6,-2,0.579861991143149,0
7,-2,1.15235391264938,0
8,-2,0.550944937118174,0
9,-1,1.80483257699931,0
10,0,5.85955889788809,0
11,0,2.77759251609878,0
12,0,2.25020341390119,0
13,0,4.23306673885877,0
14,0,-0.902863818033143,0
15,0,2.10103021038997,0
16,0,4.46098463511409,0
17,0,1.83842000803053,0
18,0,5.38442067174658,1
19,0,7.47970541541436,0
20,0,3.64093714079848,0
21,0,2.94287726873632,0
22,0,1.58318883001436,0
23,0,1.48096522837525,0
24,0,5.16771812796784,0
25,0,3.99988962126134,0
26,0,-0.787438298525074,0
27,1,5.87777906335312,0
28,1,4.42643500492737,0
29,1,4.15916531428458,0
30,1,5.2030326725484,0
31,1,3.85150818933659,0
32,1,7.15181135826726,0
33,1,0.290420793132061,0
34,1,5.84381437082576,0
35,1,5.48490011457199,0
36,1,5.26877019018575,0
37,1,9.17253062302649,1
38,1,4.38342296664756,0
39,1,4.28349482997774,0
40,1,6.24602039976705,0
41,1,8.40012433333119,0
42,1,2.59139241431798,1
43,1,4.63415763527641,0
44,2,9.13409566218412,0
45,2,9.02487305481126,1
46,2,8.82729135611423,0
47,2,12.0348990181271,0
48,2,4.57395614879039,0
49,2,7.74926878519848,0
50,2,8.53986898549932,0
51,2,12.3007706965051,0
52,2,10.971730050512,0
53,2,13.2490534126579,0
54,2,10.2329190097079,0
55,2,7.83065635470401,0
56,2,11.3531085512658,1
57,2,9.79281960624129,0
58,2,6.32371021440733,0
59,2,6.00272775614277,0
60,2,7.9186603966422,0
61,2,6.80430851733428,0
62,2,7.75570807080822,0
63,2,11.4134514426625,0
64,2,7.11652682915165,0
65,2,7.6914766611352,0
66,2,11.4871446461033,0
67,2,6.82356801685921,1
68,2,11.7201025268139,0
69,3,11.4226041895761,0
70,3,14.2788997837831,0
71,3,15.7996729325169,0
72,3,15.6928442388905,0
73,3,17.9323637931265,0
74,3,12.1897846361571,0
75,3,12.7407619499714,1
76,3,12.3812330521165,1
77,3,15.1551639895308,0
78,3,15.3978555422867,0
79,3,16.2793763029542,0
80,3,21.8078649107979,0
81,3,11.3791222542911,1
82,3,12.2259396558177,0
83,3,17.6185990944638,1
84,4,25.4807402658955,1
85,4,23.210644152144,0
86,4,22.9227723304957,0
87,4,23.724458337459,0
88,4,22.7917567519958,0
89,4,26.8360475003974,0
90,4,24.5775812419423,0
91,4,22.7626804164769,0
92,4,23.4490038477401,0
93,4,21.2015204751333,1
94,4,22.500418390556,0
95,4,22.7385566455376,1
96,4,20.7556648878514,0
97,4,18.6738729659593,1
98,4,23.3882672883865,0
99,4,32.1843521461648,0
100,4,20.8703062967957,0
101,5,24.5031182116503,0
102,5,23.7735479377569,0
103,5,38.4885226448378,1
104,5,33.8052492355808,0
105,5,22.5943638971038,0
106,5,28.6068801229423,0
107,5,36.4239231857293,0
108,5,34.9662567189918,0
109,5,21.5455605107955,0
110,5,22.132968721749,0
111,5,30.7625948133951,0
112,5,25.226545555618,0
113,5,32.2525705551255,0
114,5,36.6262311819554,0
115,5,33.8917961030265,1
116,6,43.5891426881643,0
117,6,42.2042045136123,1
118,6,50.3330092039572,0
119,6,49.2714359700291,0
120,6,50.2033787052954,0
121,6,44.7860669561561,0
122,6,42.5223438006969,0
123,6,25.2748072379154,0
124,6,45.1731075684306,1
125,6,45.9922006031757,1
126,6,58.2952380237111,0
127,6,43.8495022163355,0
128,6,39.0760599893301,0
129,6,40.2196513543003,1
130,6,36.0380482558173,0
131,7,40.6538553967618,1
132,7,43.8893536577885,0
133,7,43.7440025177021,0
134,7,67.1780854100291,1
135,7,68.7741405143669,0
136,7,58.5697555245611,0
137,7,59.4856517294081,1
138,7,46.6592716598441,1
139,7,68.7553890604709,1
140,7,53.0685414203553,1
141,7,64.078084209817,0
