id,Exp,Plot,Duration,Finished,AvgScore_Risk,Score_Risk,RiskEntry,Crime,JuryJudge,RiskCheck,MinNumEst,MinNumEst_2,MinNumEst_3,MinNumEst_3_6_TEXT,RiskVal2Label,RiskNumEst_1,RiskNumEst_2,RiskNumEst_3,RiskNumEst_4,RiskNumEst_5,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NC_9,NC_10,NC_11,NC_12,NC_13,NC_14,NC_15,NC_16,NC_17,NC_18,DJO1,DJO2,DJO3,DJO4,DJO5,DJO6,DJO7,DJO8,DJY1,DJY2,DJY3,DJY4,DJY5,DJY6,DJY7,DJY8,CRT1,CRT2,CRT3,Age,Vote,Jury,Educ,Job,Income,Political,Race,Sex,Risk,PlotType,StaticScore,RiskValue,Name,Minutes,CrimeAcc,DOB,BeyondDoubt,RiskCheck_Not_Rem,RiskLevel_1,RiskLevel_2,RiskLevel_3,RiskLevel_4,RiskLevel_5,AvgScore_Risk_Est_Diff,Score_Risk_Est_Diff,Score_Risk_Est_Diff_Exp,FailedChecks,OrderedRisk,exclusion
15236,Exp 1,Unweighted,1158,True,25,9,9,Sexual Offense,1,9,5,Average Risk,Very Low Risk,NA,Well Above Average Risk,10,20,30,50,60,Neutral,-,-,-,-,-,-,-,-,-,-,-,Neutral,-,-,-,-,-,Disagree,Disagree,"Slightly
Disagree",Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,"Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree",Disagree,Disagree,NA,NA,NA,20,Yes,No,Some college,Employed Part Time,"Less than $14,999",Strongly liberal,White or Non-Hispanic White,Female,high risk,default,2,70% risk likelihood,Respondent,19.3,1,2002,1,,10,20,30,50,60,5.731730206376536,0.01999379804607493,0,0,1,include
15716,Exp 1,Unweighted,497,True,25,9,9,Sexual Offense,1,9,20,Average Risk,Below Average Risk,NA,Above Average Risk,10,20,30,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neutral,Neutral,"Slightly
Disagree",Disagree,"Slightly
Disagree",Disagree,Neutral,"Slightly
Disagree",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,20,Yes,No,Some college,Student,"Less than $14,999",Strongly liberal,Asian,Female,risk,default,2,40% risk likelihood,Respondent,8.28,1,2002,1,,10,20,30,40,60,5.731730206376536,0.01999379804607493,0,0,1,include
15737,Exp 1,Unweighted,862,True,15,10,9,Sexual Offense,0,9,9,Average Risk,Above Average Risk,NA,Average Risk,10,20,30,40,50,-,-,-,-,-,-,-,-,Neutral,-,-,-,-,Neutral,-,Neutral,Neutral,Very Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"Slightly
Agree","Slightly
Agree","Slightly
Disagree",Agree,Disagree,"Slightly
Agree",Agree,NA,NA,NA,19,No,No,Some college,Student,"Less than $14,999",Moderately liberal,Asian,Female,low risk,default,2,30% risk likelihood,Respondent,14.37,1,2003,0,,10,20,30,40,50,-4.268269793623464,1.019993798046075,1,0,1,include
15822,Exp 1,Unweighted,1130,True,20,9,9,Sexual Offense,0,9,40,Above Average Risk,Average Risk,NA,Well Above Average Risk,0,10,20,30,50,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,-,-,-,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Agree,-,Very Strongly Agree,-,Very Strongly Disagree,-,"Slightly
Disagree",Neutral,"Slightly
Disagree","Slightly
Disagree",Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,"Slightly
Agree","Slightly
Agree",Neutral,"Slightly
Agree",NA,NA,NA,19,Yes,No,Some college,Student,"Less than $14,999",Strongly liberal,Asian,Male,low to moderate risk,default,2,50% risk likelihood,Respondent,18.83,1,2003,0,,0,10,20,30,50,0.7317302063765361,0.01999379804607493,0,0,1,include
15685,Exp 1,Weighted,742,True,25,12,9,Sexual Offense,1,9,3,Above Average Risk,Below Average Risk,NA,Well Above Average Risk,0,10,20,30,40,Neutral,-,-,-,-,Neutral,Neutral,-,-,-,-,-,Neutral,Neutral,Neutral,Neutral,-,-,"Slightly
Agree",Agree,"Slightly
Agree","Slightly
Agree",Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Agree",Agree,Agree,"Strongly
Agree",Agree,Agree,Agree,Agree,Agree,NA,NA,NA,19,Yes,No,Some college,Student,"More than $105,000",Weakly conservative,White or Non-Hispanic White,Female,moderate to high risk,size,2,40% risk likelihood,Respondent,12.37,1,2003,1,,0,10,20,30,40,5.731730206376536,3.019993798046075,3,0,1,include
15787,Exp 1,Unweighted,1292,True,15,9,9,Sexual Offense,0,9,19,Below Average Risk,Below Average Risk,NA,Below Average Risk,0,10,20,30,40,-,-,-,-,-,-,-,-,-,-,-,-,Neutral,-,-,Very Strongly Agree,-,-,Strongly Disagree,"Slightly
Disagree","Slightly
Agree",Disagree,Disagree,Disagree,Strongly Disagree,"Slightly
Disagree",Neutral,"Slightly
Agree",Agree,Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Agree",Agree,NA,NA,NA,20,Yes,No,Some college,Student,"$75,000 - $89,999",Moderately liberal,White or Non-Hispanic White,Female,risk,default,2,10% risk likelihood,Respondent,21.53,1,2002,0,,0,10,20,30,40,-4.268269793623464,0.01999379804607493,0,0,1,include
14943,Exp 1,Unweighted,913,True,15,9,9,Sexual Offense,0,9,51,Below Average Risk,Below Average Risk,NA,Very Low Risk,0,10,20,50,60,Neutral,Neutral,Neutral,-,Neutral,-,Neutral,-,-,Neutral,Neutral,-,-,-,Neutral,-,-,Neutral,"Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree",Neutral,Agree,Agree,"Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree",Neutral,Neutral,Agree,Neutral,NA,NA,NA,20,Yes,No,Some college,Student,"Less than $14,999",Centrist/Middle of the Road,Native Hawaiian or Pacific Islander,Male,low risk,default,2,0% risk likelihood,Respondent,15.22,1,2002,0,,0,10,20,50,60,-4.268269793623464,0.01999379804607493,0,0,1,include
15842,Exp 1,Weighted,1374,True,90,12,9,Sexual Offense,1,9,55,Average Risk,Very Low Risk,NA,Well Above Average Risk,10,20,40,60,70,Neutral,Very Strongly Agree,Very Strongly Disagree,-,Very Strongly Disagree,Very Strongly Agree,-,-,-,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,-,Very Strongly Agree,Very Strongly Agree,-,-,Very Strongly Agree,"Slightly
Disagree","Slightly
Disagree",Disagree,Neutral,"Slightly
Disagree",Disagree,"Slightly
Disagree","Slightly
Disagree","Slightly
Agree","Slightly
Disagree",Agree,"Slightly
Disagree",Neutral,"Slightly
Disagree","Slightly
Disagree","Slightly
Agree",NA,NA,NA,19,Yes,No,Some college,Unemployed,"Less than $14,999",Moderately liberal,White or Non-Hispanic White,Female,moderate to high risk,size,2,70% risk likelihood,Respondent,22.9,1,2003,1,,10,20,40,60,70,70.73173020637654,3.019993798046075,3,0,1,exclude
15802,Exp 1,Unweighted,1261,True,30,10,9,Sexual Offense,0,9,9,Average Risk,Below Average Risk,NA,Well Above Average Risk,10,20,50,70,90,-,-,-,-,-,-,-,Neutral,Neutral,-,-,-,-,-,-,-,-,-,Disagree,"Slightly
Disagree","Slightly
Agree",Disagree,"Slightly
Agree","Slightly
Agree","Slightly
Disagree","Slightly
Disagree",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,NA,NA,NA,19,Yes,No,Some college,Student,"Less than $14,999",Strongly liberal,Hispanic/Latino,Female,risk,default,2,risk,Respondent,21.02,1,2003,0,,10,20,50,70,90,10.731730206376536,1.019993798046075,1,0,1,include
15596,Exp 1,None,3536,True,NA,NA,9,Sexual Offense,0,9,50,Above Average Risk,Below Average Risk,NA,Above Average Risk,10,20,50,70,80,-,-,-,-,-,Neutral,-,-,Neutral,Neutral,-,-,-,-,-,-,-,-,Disagree,Disagree,Neutral,Disagree,Disagree,"Slightly
Disagree",Disagree,Disagree,Agree,"Slightly
Agree",Neutral,Neutral,Agree,"Slightly
Agree","Slightly
Agree","Slightly
Agree",NA,NA,NA,20,Yes,No,High school graduate,Employed Part Time,"Less than $14,999",Moderately liberal,White or Non-Hispanic White,Female,low risk,noplot,2,60% risk likelihood,Respondent,58.93,1,2002,0,,10,20,50,70,80,NA,NA,NA,0,1,include
